iter	Passed	Remaining
0	121	24198
1	232	23060
2	351	23050
3	465	22793
4	580	22651
5	700	22643
6	808	22303
7	932	22382
8	1044	22167
9	1164	22122
10	1280	22003
11	1397	21894
12	1517	21830
13	1639	21779
14	1754	21639
15	1876	21575
16	1980	21315
17	2096	21199
18	2203	20988
19	2321	20892
20	2440	20801
21	2557	20689
22	2675	20590
23	2796	20505
24	2924	20472
25	3044	20375
26	3150	20188
27	3263	20048
28	3382	19943
29	3507	19878
30	3619	19733
31	3742	19646
32	3862	19544
33	3981	19438
34	4098	19323
35	4213	19192
36	4324	19052
37	4442	18939
38	4562	18836
39	4682	18730
40	4796	18602
41	4928	18538
42	5044	18417
43	5157	18285
44	5274	18168
45	5386	18031
46	5497	17897
47	5618	17791
48	5729	17656
49	5853	17559
50	5969	17440
51	6087	17325
52	6206	17214
53	6320	17088
54	6431	16956
55	6547	16836
56	6668	16729
57	6784	16610
58	6921	16542
59	7038	16423
60	7155	16304
61	7273	16188
62	7391	16073
63	7504	15947
64	7623	15833
65	7738	15711
66	7855	15593
67	7967	15466
68	8085	15351
69	8198	15226
70	8304	15088
71	8418	14966
72	8536	14850
73	8651	14730
74	8769	14616
75	8892	14509
76	9008	14390
77	9119	14263
78	9237	14149
79	9362	14044
80	9478	13925
81	9591	13802
82	9704	13679
83	9816	13555
84	9949	13461
85	10065	13342
86	10182	13225
87	10300	13109
88	10421	12997
89	10535	12876
90	10650	12757
91	10770	12643
92	10899	12540
93	11025	12433
94	11149	12323
95	11267	12206
96	11386	12090
97	11503	11972
98	11606	11841
99	11733	11733
100	11853	11619
101	11970	11500
102	12084	11380
103	12203	11264
104	12319	11146
105	12439	11031
106	12555	10912
107	12679	10800
108	12795	10682
109	12915	10567
110	13026	10444
111	13148	10331
112	13262	10210
113	13387	10099
114	13499	9978
115	13612	9857
116	13729	9739
117	13858	9630
118	13979	9515
119	14112	9408
120	14243	9299
121	14350	9174
122	14462	9053
123	14576	8934
124	14684	8810
125	14802	8693
126	14933	8583
127	15057	8469
128	15168	8348
129	15282	8228
130	15396	8109
131	15507	7988
132	15621	7869
133	15737	7751
134	15859	7635
135	15985	7522
136	16116	7411
137	16222	7288
138	16333	7167
139	16446	7048
140	16563	6930
141	16680	6813
142	16802	6697
143	16928	6583
144	17047	6466
145	17160	6346
146	17271	6227
147	17388	6109
148	17505	5991
149	17637	5879
150	17754	5761
151	17882	5647
152	17996	5528
153	18108	5409
154	18229	5292
155	18338	5172
156	18459	5055
157	18575	4937
158	18687	4818
159	18792	4698
160	18922	4583
161	19036	4465
162	19159	4349
163	19267	4229
164	19377	4110
165	19501	3994
166	19616	3876
167	19733	3758
168	19856	3642
169	19975	3525
170	20095	3407
171	20205	3289
172	20326	3172
173	20446	3055
174	20568	2938
175	20686	2820
176	20793	2702
177	20924	2586
178	21043	2468
179	21167	2351
180	21282	2234
181	21395	2116
182	21515	1998
183	21633	1881
184	21749	1763
185	21871	1646
186	21989	1528
187	22100	1410
188	22212	1292
189	22325	1175
190	22447	1057
191	22573	940
192	22688	822
193	22804	705
194	22933	588
195	23049	470
196	23155	352
197	23277	235
198	23392	117
199	23513	0
